path,emoji,score_percent,category,detail,bytes,sha256
.editorconfig,✅,85,project-file,fichier de projet présent et non vide,141,f73232b8c30181451dee4772a144c46bc6b3754feade723bddd95179c417e53a
.env.example,🔐⚙️,78,external-configuration,configuration valide; identifiants et permissions réels requis,241,57ca83d2c9aa7fb2d7177db0f1d148cfc21b1f27a4a34094e25171e588bda987
.gitignore,✅,85,project-file,fichier de projet présent et non vide,87,9838951f265bc9b1b865279909e35dd51ec8b731ff620e13dbd27c713175facd
apps/aliexpress_oauth_helper/main.cpp,✅,90,operational-entrypoint,exécutable terminal opérationnel compilé et lié,1655,4061f7cc52200e8d9ae9c73de1feb20514ffe39a2b2b94f21cb175205849433d
apps/autonomous_manager/main.cpp,✅,90,operational-entrypoint,exécutable terminal opérationnel compilé et lié,808,62279771138cdff367a277d267a646a8d2afb6b82f747ef05c36fbaf0d57f808
apps/backup_manager/main.cpp,✅,90,operational-entrypoint,exécutable terminal opérationnel compilé et lié,799,aa4554ccf129498ec20062839409e86b301339936149bcf698b48662181af470
apps/configuration_validator/main.cpp,✅,90,operational-entrypoint,exécutable terminal opérationnel compilé et lié,310,d204f201e9324f41d5a9ac9444ac70f2da0b3da1ccd5d84f0f11146458d173b7
apps/database_migrator/main.cpp,✅,90,operational-entrypoint,exécutable terminal opérationnel compilé et lié,681,f0b3d9ebdd7b016f9eb107febfcf317e14f8aab5f1fbf56926af859d7a37cb8b
apps/diagnostics/main.cpp,✅,90,operational-entrypoint,exécutable terminal opérationnel compilé et lié,1171,451229fa40c17c0806754d9e2ef56f064f25ee7ebceca555b6b086cef64098d4
apps/emergency_recovery/main.cpp,✅,90,operational-entrypoint,exécutable terminal opérationnel compilé et lié,737,ce880ac26ea157f7557f1052cd3a954fdb9f612303a6fd9e4902409f8cb04c95
apps/manager/main.cpp,✅,90,operational-entrypoint,exécutable terminal opérationnel compilé et lié,992,a10f8249de5db28f62b11dbe22d75af35cffadaa077b71a94dabc1cc08583e82
apps/replay_tool/main.cpp,✅,90,operational-entrypoint,exécutable terminal opérationnel compilé et lié,687,e8b349342f560a960e7cfccdb177de9035877295ac7b31314809ebbc88428978
apps/sandbox_simulator/main.cpp,✅,90,operational-entrypoint,exécutable terminal opérationnel compilé et lié,646,0477dd471ea728912613fe9da1f779da7b8771e97cb98c4ae15c49f8cdfc0856
apps/scheduler_service/main.cpp,✅,90,operational-entrypoint,exécutable terminal opérationnel compilé et lié,2616,845f4b7da47abc9cbc55ffa06d5375e4953b43b3a4130c948c5fb5a566e6e029
apps/shopify_oauth_helper/main.cpp,✅,90,operational-entrypoint,exécutable terminal opérationnel compilé et lié,1630,2e9368375ca40996b643986166a0f94c292f4422f818cf9cd7965b41ff71b032
apps/webhook_server/main.cpp,✅,90,operational-entrypoint,exécutable terminal opérationnel compilé et lié,4409,790727310d8561769c8fb994c984a79d8805f4f406c5b01082b1cbec2e06ba61
apps/worker_service/main.cpp,✅,90,operational-entrypoint,exécutable terminal opérationnel compilé et lié,9752,52d1ee16e6a5c190ed4cabe66f35e85894c7015c6031391968c7b6cef5724469
CHANGELOG.md,📘,90,documentation,documentation maintenue; ne remplace pas une validation API réelle,2169,609e1bcbc6e9f7e2101390fca38465d646feb41038cd70c525b39ed03b5fa866
cmake/CompilerOptions.cmake,🛠️✅,92,build-tooling,"construction, script ou emballage validé par compilation Release",93,5207865c1de882e3a0eee53d49a91c2478d59f9548c2224d5205cabd9b50c6ad
cmake/CompilerWarnings.cmake,🛠️✅,92,build-tooling,"construction, script ou emballage validé par compilation Release",119,c769e53fd06f433080e823078e4571c18366d7cdf1c7a2ff0cb6062137635101
cmake/Dependencies.cmake,🛠️✅,92,build-tooling,"construction, script ou emballage validé par compilation Release",212,87a6662ee92ed6a3ac27d23b9a584cf6c7227eac77272299a08a4b19a9a6db73
cmake/InstallLayout.cmake,🛠️✅,92,build-tooling,"construction, script ou emballage validé par compilation Release",24,118eb4b5dead600e2d90359400161264ae08fb0705cafa6a76af0652d7d8ad12
