path,score,emoji,state,detail,category,bytes,lines,change_from_v3
.editorconfig,85,🟢,INTÉGRÉ,ressource intégrée,resources,141,0,UNCHANGED
.env.example,85,🟢,INTÉGRÉ,ressource intégrée,resources,241,0,UNCHANGED
.gitignore,85,🟢,INTÉGRÉ,ressource intégrée,resources,87,0,UNCHANGED
CHANGELOG.md,88,📘,DOCUMENTÉ,documentation ou rapport,documentation,2910,45,MODIFIED
CMakeLists.txt,88,📘,DOCUMENTÉ,documentation ou rapport,build,2901,67,MODIFIED
CMakePresets.json,92,⚙️✅,CONFIGURATION,configuration valide,configuration,1686,75,UNCHANGED
CONTRIBUTING.md,88,📘,DOCUMENTÉ,documentation ou rapport,documentation,193,4,UNCHANGED
LICENSE.txt,88,📘,DOCUMENTÉ,documentation ou rapport,resources,255,4,UNCHANGED
PROJECT_DEEP_ANALYSIS_V3.md,88,📘,DOCUMENTÉ,documentation ou rapport,documentation,2557,44,UNCHANGED
PROJECT_DEEP_ANALYSIS_V4.md,88,📘,DOCUMENTÉ,documentation ou rapport,documentation,2017,42,NEW
PROJECT_FILE_STATUS_CURRENT.csv,92,📊,RAPPORT,rapport de validation ou progression,reports,252408,0,NEW
PROJECT_FILE_STATUS_V3.csv,92,📊,RAPPORT,rapport de validation ou progression,reports,411290,0,UNCHANGED
PROJECT_FILE_STATUS_V4.csv,92,📊,RAPPORT,rapport de validation ou progression,reports,286854,0,NEW
PROJECT_MANIFEST.txt,88,📘,DOCUMENTÉ,documentation ou rapport,reports,152411,1923,UNCHANGED
PROJECT_MANIFEST_SHA256.txt,88,📘,DOCUMENTÉ,documentation ou rapport,reports,211512,1924,UNCHANGED
PROJECT_MANIFEST_SHA256_V3.txt,88,📘,DOCUMENTÉ,documentation ou rapport,reports,211512,1924,UNCHANGED
PROJECT_MANIFEST_SHA256_V4.txt,88,📘,DOCUMENTÉ,documentation ou rapport,reports,213626,1945,NEW
PROJECT_STATUS.json,92,⚙️✅,CONFIGURATION,configuration valide,configuration,2339,73,UNCHANGED
PROJECT_STATUS_CURRENT.json,92,⚙️✅,CONFIGURATION,configuration valide,configuration,495593,17508,NEW
PROJECT_STATUS_V3.json,92,⚙️✅,CONFIGURATION,configuration valide,configuration,2339,73,UNCHANGED
PROJECT_STATUS_V4.json,92,⚙️✅,CONFIGURATION,configuration valide,configuration,1364,49,NEW
PROJECT_TREE_CMD_EMOJI_V3.txt,88,📘,DOCUMENTÉ,documentation ou rapport,reports,271693,2181,UNCHANGED
PROJECT_TREE_CMD_EMOJI_V4.txt,88,📘,DOCUMENTÉ,documentation ou rapport,reports,281341,2184,NEW
PROJECT_TREE_CMD_EMOJI_V4_CPP.txt,88,📘,DOCUMENTÉ,documentation ou rapport,reports,257025,1952,NEW
PROJECT_TREE_EMOJI.txt,88,📘,DOCUMENTÉ,documentation ou rapport,reports,271693,2181,UNCHANGED
README.md,88,📘,DOCUMENTÉ,documentation ou rapport,documentation,5284,113,MODIFIED
SECURITY.md,88,📘,DOCUMENTÉ,documentation ou rapport,documentation,1528,35,UNCHANGED
TARGET_TREE_COMPLIANCE.json,92,⚙️✅,CONFIGURATION,configuration valide,configuration,424,11,UNCHANGED
TARGET_TREE_COMPLIANCE_V4.json,92,⚙️✅,CONFIGURATION,configuration valide,configuration,164,9,NEW
VALIDATION_REPORT.txt,88,📘,DOCUMENTÉ,documentation ou rapport,reports,1962,72,UNCHANGED
VALIDATION_REPORT_V3.txt,88,📘,DOCUMENTÉ,documentation ou rapport,reports,1962,72,UNCHANGED
VALIDATION_REPORT_V4.txt,88,📘,DOCUMENTÉ,documentation ou rapport,reports,1902,47,NEW
VERSION,85,🟢,INTÉGRÉ,ressource intégrée,resources,6,0,MODIFIED
apps/aliexpress_oauth_helper/main.cpp,73,🟡,PARTIEL,module court mais utilisable,executables,1655,39,UNCHANGED
apps/autonomous_manager/main.cpp,64,🟡,MINIMAL,interface ou implémentation minimale,executables,808,10,UNCHANGED
apps/backup_manager/main.cpp,64,🟡,MINIMAL,interface ou implémentation minimale,executables,799,6,UNCHANGED
apps/configuration_validator/main.cpp,64,🟡,MINIMAL,interface ou implémentation minimale,executables,310,4,UNCHANGED
apps/database_migrator/main.cpp,95,✅,MÉTIER AVANCÉ,logique métier dédiée: migrateDirectory,executables,681,6,UNCHANGED
apps/diagnostics/main.cpp,64,🟡,MINIMAL,interface ou implémentation minimale,executables,1171,7,UNCHANGED
apps/emergency_recovery/main.cpp,95,✅,MÉTIER AVANCÉ,logique métier dédiée: migrateDirectory,executables,737,5,UNCHANGED
apps/manager/main.cpp,64,🟡,MINIMAL,interface ou implémentation minimale,executables,992,12,UNCHANGED
apps/replay_tool/main.cpp,64,🟡,MINIMAL,interface ou implémentation minimale,executables,687,7,UNCHANGED
apps/sandbox_simulator/main.cpp,64,🟡,MINIMAL,interface ou implémentation minimale,executables,646,5,UNCHANGED
apps/scheduler_service/main.cpp,96,✅,MÉTIER AVANCÉ,"logique métier dédiée: enqueueUniqueTask, migrateDirectory",executables,2616,81,UNCHANGED
apps/shopify_oauth_helper/main.cpp,73,🟡,PARTIEL,module court mais utilisable,executables,1630,39,UNCHANGED
apps/webhook_server/main.cpp,96,✅,MÉTIER AVANCÉ,"logique métier dédiée: ShopifyWebhookProcessor, migrateDirectory",executables,2932,76,MODIFIED
apps/worker_service/main.cpp,96,✅,MÉTIER AVANCÉ,"logique métier dédiée: enqueueUniqueTask, migrateDirectory",executables,14515,296,MODIFIED
cmake/CompilerOptions.cmake,94,🛠️✅,OUTILLAGE,"construction, déploiement ou emballage",build,93,4,UNCHANGED
cmake/CompilerWarnings.cmake,94,🛠️✅,OUTILLAGE,"construction, déploiement ou emballage",build,119,6,UNCHANGED
cmake/Dependencies.cmake,94,🛠️✅,OUTILLAGE,"construction, déploiement ou emballage",build,212,6,UNCHANGED
cmake/InstallLayout.cmake,94,🛠️✅,OUTILLAGE,"construction, déploiement ou emballage",build,24,2,UNCHANGED
cmake/LinuxToolchain.cmake,94,🛠️✅,OUTILLAGE,"construction, déploiement ou emballage",build,29,2,UNCHANGED
cmake/MingwToolchain.cmake,94,🛠️✅,OUTILLAGE,"construction, déploiement ou emballage",build,78,3,UNCHANGED
cmake/Packaging.cmake,94,🛠️✅,OUTILLAGE,"construction, déploiement ou emballage",build,134,4,UNCHANGED
cmake/Sanitizers.cmake,94,🛠️✅,OUTILLAGE,"construction, déploiement ou emballage",build,249,6,UNCHANGED
cmake/StaticAnalysis.cmake,94,🛠️✅,OUTILLAGE,"construction, déploiement ou emballage",build,233,8,UNCHANGED
cmake/TestConfiguration.cmake,94,🛠️✅,OUTILLAGE,"construction, déploiement ou emballage",build,32,3,UNCHANGED
cmake/VersionInfo.cmake,94,🛠️✅,OUTILLAGE,"construction, déploiement ou emballage",build,83,2,UNCHANGED
cmake/WindowsToolchain.cmake,94,🛠️✅,OUTILLAGE,"construction, déploiement ou emballage",build,31,2,UNCHANGED
