path,percentage,emoji,state,detail,bytes,lines
".editorconfig",85,"🟢","INTÉGRÉ","ressource intégrée",141,0
".env.example",85,"🟢","INTÉGRÉ","ressource intégrée",241,0
".gitignore",85,"🟢","INTÉGRÉ","ressource intégrée",87,0
"CHANGELOG.md",88,"📘","DOCUMENTÉ","documentation ou rapport",6534,94
"CMakeLists.txt",88,"📘","DOCUMENTÉ","documentation ou rapport",2901,67
"CMakePresets.json",92,"⚙️✅","CONFIGURATION","configuration valide",1686,75
"CONTRIBUTING.md",88,"📘","DOCUMENTÉ","documentation ou rapport",193,4
"LICENSE.txt",88,"📘","DOCUMENTÉ","documentation ou rapport",255,4
"PROJECT_DEEP_ANALYSIS_V3.md",88,"📘","DOCUMENTÉ","documentation ou rapport",2557,44
"PROJECT_DEEP_ANALYSIS_V4.md",88,"📘","DOCUMENTÉ","documentation ou rapport",2017,42
"PROJECT_DEEP_ANALYSIS_V5.md",88,"📘","DOCUMENTÉ","documentation ou rapport",3376,79
"PROJECT_DEEP_ANALYSIS_V6.md",88,"📘","DOCUMENTÉ","documentation ou rapport",1656,43
"PROJECT_DEEP_ANALYSIS_V7.md",88,"📘","DOCUMENTÉ","documentation ou rapport",3145,78
"PROJECT_FILE_STATUS_V3.csv",85,"🟢","INTÉGRÉ","ressource intégrée",411290,0
"PROJECT_FILE_STATUS_V4.csv",85,"🟢","INTÉGRÉ","ressource intégrée",286765,0
"PROJECT_FILE_STATUS_V5.csv",85,"🟢","INTÉGRÉ","ressource intégrée",255701,0
"PROJECT_FILE_STATUS_V6.csv",85,"🟢","INTÉGRÉ","ressource intégrée",260284,0
"PROJECT_FILE_STATUS_V7.csv",85,"🟢","INTÉGRÉ","ressource intégrée",263307,0
"PROJECT_MANIFEST.txt",88,"📘","DOCUMENTÉ","documentation ou rapport",152411,1923
"PROJECT_MANIFEST_SHA256.txt",88,"📘","DOCUMENTÉ","documentation ou rapport",211512,1924
"PROJECT_MANIFEST_SHA256_V3.txt",88,"📘","DOCUMENTÉ","documentation ou rapport",211512,1924
"PROJECT_MANIFEST_SHA256_V4.txt",88,"📘","DOCUMENTÉ","documentation ou rapport",213545,1944
"PROJECT_MANIFEST_SHA256_V5.txt",88,"📘","DOCUMENTÉ","documentation ou rapport",214879,1957
"PROJECT_MANIFEST_SHA256_V6.txt",88,"📘","DOCUMENTÉ","documentation ou rapport",218435,1990
"PROJECT_MANIFEST_SHA256_V7.txt",88,"📘","DOCUMENTÉ","documentation ou rapport",220961,2017
"PROJECT_STATUS.json",92,"⚙️✅","CONFIGURATION","configuration valide",2339,73
"PROJECT_STATUS_V3.json",92,"⚙️✅","CONFIGURATION","configuration valide",2339,73
"PROJECT_STATUS_V4.json",92,"⚙️✅","CONFIGURATION","configuration valide",1364,49
"PROJECT_STATUS_V5.json",92,"⚙️✅","CONFIGURATION","configuration valide",501117,17646
"PROJECT_STATUS_V6.json",92,"⚙️✅","CONFIGURATION","configuration valide",509834,17943
"PROJECT_STATUS_V7.json",92,"⚙️✅","CONFIGURATION","configuration valide",515703,18150
